Run,download_path,LibraryLayout
SRR1201340,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201340/SRR1201340.sra,PAIRED
SRR1201341,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201341/SRR1201341.sra,PAIRED
SRR1201342,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201342/SRR1201342.sra,PAIRED
SRR1201343,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201343/SRR1201343.sra,PAIRED
SRR1201344,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201344/SRR1201344.sra,PAIRED
SRR1201345,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201345/SRR1201345.sra,PAIRED
SRR1201346,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201346/SRR1201346.sra,PAIRED
SRR1201347,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201347/SRR1201347.sra,PAIRED
SRR1201348,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201348/SRR1201348.sra,PAIRED
SRR1201349,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201349/SRR1201349.sra,PAIRED
SRR1201350,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201350/SRR1201350.sra,PAIRED
SRR1201351,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201351/SRR1201351.sra,PAIRED
SRR1201352,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201352/SRR1201352.sra,PAIRED
SRR1201353,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201353/SRR1201353.sra,PAIRED
SRR1201354,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201354/SRR1201354.sra,PAIRED
SRR1201355,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR120/SRR1201355/SRR1201355.sra,PAIRED
SRR1283071,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR128/SRR1283071/SRR1283071.sra,SINGLE
SRR1283072,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR128/SRR1283072/SRR1283072.sra,SINGLE
SRR1283073,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR128/SRR1283073/SRR1283073.sra,SINGLE
SRR1283074,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR128/SRR1283074/SRR1283074.sra,SINGLE
