sample_id	file	total_mass	internal_scale	external_scale
q1_0	SRR1201340_good.bam	2.73659e+07	1.65329	1
q2_0	SRR1201341_good.bam	2.74054e+07	1.79201	1
q3_0	SRR1201342_good.bam	1.66736e+07	0.859283	1
q4_0	SRR1201343_good.bam	4.67148e+07	2.21286	1
q5_0	SRR1201344_good.bam	1.98801e+07	1.28675	1
q6_0	SRR1201345_good.bam	2.62557e+07	1.44941	1
q7_0	SRR1201346_good.bam	1.87294e+07	0.768975	1
q8_0	SRR1201347_good.bam	4.95347e+07	3.30357	1
q9_0	SRR1201348_good.bam	2.4462e+07	0.880808	1
q10_0	SRR1201349_good.bam	2.28972e+07	1.22415	1
q11_0	SRR1201350_good.bam	2.27247e+07	1.16099	1
q12_0	SRR1201351_good.bam	4.4471e+07	2.40335	1
q13_0	SRR1201352_good.bam	3.58171e+07	2.26136	1
q14_0	SRR1201353_good.bam	5.12727e+07	3.08559	1
q15_0	SRR1201354_good.bam	5.53659e+07	3.31544	1
q16_0	SRR1201355_good.bam	2.79168e+07	1.34088	1
q17_0	SRR1283071_good.bam	4.88154e+06	0.192651	1
q18_0	SRR1283072_good.bam	1.10188e+07	0.423167	1
q19_0	SRR1283073_good.bam	3.0069e+07	1.22474	1
q20_0	SRR1283074_good.bam	3.13036e+07	1.27391	1
q21_0	SRR1283075_good.bam	2.82847e+07	1.1413	1
q22_0	SRR1283076_good.bam	1.02939e+07	0.369538	1
q23_0	SRR1283077_good.bam	1.32363e+07	0.457621	1
q24_0	SRR1283078_good.bam	1.85997e+07	0.662004	1
q25_0	SRR1283079_good.bam	1.94949e+07	0.693077	1
q26_0	SRR1283080_good.bam	1.76794e+07	0.616077	1
q27_0	SRR1283081_good.bam	1.06872e+07	0.485475	1
q28_0	SRR1283082_good.bam	1.68879e+07	0.683792	1
q29_0	SRR1283083_good.bam	2.74368e+07	1.143	1
q30_0	SRR1283084_good.bam	4.26057e+06	0.145912	1
q31_0	SRR1283085_good.bam	1.03906e+07	0.33839	1
q32_0	SRR1283086_good.bam	1.46295e+07	0.477581	1
q33_0	SRR1283087_good.bam	1.52962e+07	0.507075	1
q34_0	SRR1283088_good.bam	1.39163e+07	0.446362	1
q35_0	SRR1569274_good.bam	1.92286e+07	1.10077	1
q36_0	SRR1569309_good.bam	1.73063e+07	0.788011	1
q37_0	SRR1569385_good.bam	1.45508e+07	0.41109	1
q38_0	SRR1569412_good.bam	1.47677e+07	0.419955	1
q39_0	SRR1569430_good.bam	1.73276e+07	0.888647	1
q40_0	SRR1569432_good.bam	2.15668e+07	1.24331	1
q41_0	SRR1569463_good.bam	2.12569e+07	1.51929	1
q42_0	SRR1569464_good.bam	1.50886e+07	0.774038	1
q43_0	SRR1569465_good.bam	9.59323e+06	0.236039	1
q44_0	SRR1569467_good.bam	1.87279e+07	1.02639	1
q45_0	SRR1569468_good.bam	1.11056e+07	0.388067	1
q46_0	SRR1569469_good.bam	1.54408e+07	0.775247	1
q47_0	SRR1569471_good.bam	2.12214e+07	1.25306	1
q48_0	SRR1569472_good.bam	1.527e+07	0.730609	1
q49_0	SRR1569473_good.bam	1.6264e+07	0.615491	1
q50_0	SRR1569474_good.bam	2.08146e+07	1.38646	1
q51_0	SRR1569475_good.bam	2.03941e+07	1.01005	1
q52_0	SRR1569476_good.bam	2.27019e+07	1.23047	1
q53_0	SRR1569477_good.bam	2.11375e+07	1.35272	1
q54_0	SRR1569478_good.bam	1.97819e+07	1.21809	1
q55_0	SRR1569479_good.bam	2.28002e+07	1.40292	1
q56_0	SRR1569486_good.bam	1.99465e+07	1.26106	1
q57_0	SRR1569488_good.bam	1.92574e+07	1.07653	1
q58_0	SRR1569490_good.bam	2.00835e+07	1.28067	1
q59_0	SRR941787_good.bam	7.04773e+07	4.67724	1
q60_0	SRR941788_good.bam	3.31901e+07	1.56698	1
q61_0	SRR941789_good.bam	3.08752e+07	1.63654	1
q62_0	SRR941790_good.bam	4.22957e+07	2.91511	1
q63_0	SRR941791_good.bam	3.405e+07	1.89922	1
q64_0	SRR941792_good.bam	3.1226e+07	1.69692	1
q65_0	SRR941793_good.bam	2.07624e+07	1.21019	1
q66_0	SRR941794_good.bam	2.54148e+07	1.44715	1
q67_0	SRR941795_good.bam	1.78115e+07	1.17135	1
q68_0	SRR941796_good.bam	1.97715e+07	1.17308	1
q69_0	SRR941797_good.bam	1.71832e+07	1.16912	1
q70_0	SRR941798_good.bam	1.32741e+07	0.846081	1
q71_0	SRR941799_good.bam	1.57542e+07	1.02681	1
q72_0	SRR941800_good.bam	3.04261e+07	1.79955	1
q73_0	SRR941801_good.bam	4.0058e+07	2.32424	1
q74_0	SRR941802_good.bam	2.23858e+07	1.64112	1
q75_0	SRR941803_good.bam	2.20192e+07	1.50981	1
q76_0	SRR941804_good.bam	2.51422e+07	1.42546	1
q77_0	SRR941805_good.bam	3.59051e+07	2.35739	1
q78_0	SRR941806_good.bam	2.04022e+07	1.30115	1
q79_0	SRR941807_good.bam	1.58684e+07	0.944291	1
q80_0	SRR957667_good.bam	1.10371e+07	0.667425	1
q81_0	SRR957668_good.bam	1.18662e+07	0.788841	1
q82_0	SRR958469_good.bam	1.13527e+07	0.806072	1
q83_0	SRR958472_good.bam	1.17793e+07	0.805082	1
q84_0	SRR958473_good.bam	1.08866e+07	0.753015	1
q85_0	SRR958525_good.bam	1.11481e+07	0.735677	1
